아이디,한글,교정된한글,label
  @user-wo6ur8mo1n,이게 아이브지,이게 아이브지,1
  @qqqqppp7,잼민이들 앵콜이 라이브인지 어케알 에이알깐거아니냐 이것도 보정 다 된건데 이러고있네 저런애들 특 아는건 좃도 없으면서 아는척 전문가인 척 은 또 오지게 함 진짜 공감성수치온다,잼민이 들 앙코르가 라이브인지 어제 알 에이 알 깐 거 아니냐 이것도 보정 다 된 건데 이러고 있네 저런 애들 특 아는 건 좃도 없으면서 아는 척 전문가인 척 은 또 오지게 함 진짜 공감성 수치 온다,0
  @macarong0774-ARMYxBTS,보정 당연히 안됐죠 저 아는거 별로 없는데 다시 들으니 이거 떨림도 있고 완벽하지 않으니 이건 생라이브다 이렇게 알았어요,보정 당연히 안됐죠 저 아는 거 별로 없는데 다시 들으니 이거 떨림도 있고 완벽하지 않으니 이건 생라이브다 이렇게 알았어요,1
  @user-lk7pf1kh8y,와 리즈,와 리즈,1
  @gganggu119,가수한테 많이 늘었다  이러노   코메디 ,가수한테 많이 늘었다  이러노   코미디 ,0
  @user-ly7fe8do2k,뭐 기본적으로 실력이 많이 딸리는 채로 데뷔한 건 사실임실력으로 비판 받을 부분은 받고 노력해서 더 이상 까이지 않을 정도로 성장하면 된다고 보는데 그런 의미에서 늘었다는 말이 그렇게 이상하진 않다고 생각함 아직 신인이니까전혀 발전의 여지가 없다면 까일 만 하다고 보지만이 영상만 해도 전보다 많이 발전해서 실력으로 까는 여론은 별로 없잖아,뭐 기본적으로 실력이 많이 달리는 채로 데뷔한 건 사실임 실력으로 비판받을 부분은 받고 노력해서 더 이상 까이지 않을 정도로 성장하면 된다고 보는데 그런 의미에서 늘었다는 말이 그렇게 이상하진 않다고 생각함 아직 신인이니까 전혀 발전의 여지가 없다면 카일 만 하다고 보지만이 영상만 해도 전보다 많이 발전해서 실력으로 까는 여론은 별로 없잖아,1
  @gganggu119,암요암요 님말이 다맞지요,암요 암요 님이 말이 다 맞지요,1
  @user-ez2yw1tv7p,진짜 많이 늘었당,진짜 많이 늘었다,1
  @user-jm4hj9vp4k,로 잘들린다,로 잘 들린다,1
  @user-vn1uq4zs7h,드림컴트루파트 누구에요 목소리너무이쁘다,드림컴 트루 파트 누구예요 목소리 너무 이쁘다,1
  @Tigerhee,이서요 이제 막 고등학생된 막내입니다,이서요 이제 막 고등학생 된 막내입니다,1
  @kouign-amann,가만히 서서 부르는데 리즈도 음정불안하고 다른 멤버들은 기본발성도 안되있는데 왜 잘한다고 하지,가만히 서서 부르는데 리즈도 음정 불안하고 다른 멤버들은 기본 발성도 안 돼있는데 왜 잘한다고 하지,0
  @EON._0916,엠알제거가 원래그럼 엠알만 제거해야되는데 목소리도 제거하는 그런게 엠알제거임 이거 너무많이믿지마요,엠알 제거가 원래 그럼 엠알만 제거해야 되는데 목소리도 제거하는 그런 게 엠알 제거임 이거 너무 많이 믿지 마요,1
  @user-mu3ec9zc3w,이온 뭐라노 저영상이랑 원본이랑별차이없고 원본에서도 불안하고 기본발성도안되고 잘하는것도아닌데 뭔 그리고 안믿더라도 저거보고 무턱대고 실력돌인것마냥 잘한다고 올려치기 하잖노 근데 엠알제거 못믿을만한건맞음,이온 뭐라니 저 영상이랑 원본이랑 별 차이 없고 원본에서도 불안하고 기본 발성도 안되고 잘하는 것도 아닌데 뭔 그리고 안 믿더라도 저거 보고 무턱대고 실력돌인것마냥 잘한다고 올려치기 하잖나 근데 엠알 제거 못 믿을만한 건 맞음,1
  @EON._0916,올려치기 안하고 늘었다고 했어,올려치기 안 하고 늘었다고 했어,1
  @user-mu3ec9zc3w,이온 너말고,이온 너 말고,1
  @GRALMA,솔직히 가수치곤 잘하는지 모르겠음,솔직히 가수치곤 잘하는지 모르겠음,0
  @smoonshin3925,아니 엠알도 안깔은 앵콜곡으로 뭔 엠알제거 이러고 있음평소 가수 목소리도 짤라버리는 엠알제거 이런 영상도 이상하지만 이것도 이상함,아니 엠알도 안 깔은 앙코르곡으로 뭔 엠알 제거 이러고 있음 평소 가수 목소리도 잘라버리는 엠알 제거 이런 영상도 이상하지만 이것도 이상함,1
  @EON._0916,이건 걍 생목라이브 아님,이건 그냥 색목 라이브 아님,0
  @jaeroro96,가을은 데뷔 어케함 장원영보다 심각한 앤 처음 보네,가을은 데뷔 어떻게 함 장원영보다 심각한 앤 처음 보네,0
  @55tani,리즈 아아아가 왜케 웃기지,리즈 아아 아가 왜 이렇게 웃기지,1
  @jeeyeon4709,아이돌도 걍 직업임 잘하는 사람 못하는 사람 있고 잘하는거 못하는거 다 다름 그런 점도 좋아해서 팬덤이 있는거고 악플러 니들은 학생일때 다 공부잘함 서울대 의대생임 그거갖고 누가 헐뜯음 수십만명이 그거갖고 헐뜯는다고 생각해봐 오늘도 유망한 아이돌 한명 하늘나라로 보내고 니들 열폭에 배설하듯 내뱉은 한마디들이 쟤들 정신을 피폐하게 생각한다고 생각해 인생 하는만큼 받는다 니들 지껄인만큼 너랑 니가족 똑같이 돌려받는다,아이돌도 그냥 직업임 잘하는 사람 못하는 사람 있고 잘하는 거 못하는 거 다 다름 그런 점도 좋아해서 팬덤이 있는 거고 악플러 너희들은 학생일 때 다 공부 잘함 서울대 의대생임 그거 갖고 누가 헐뜯음 수십만 명이 그거 갖고 헐뜯는다고 생각해 봐 오늘도 유망한 아이돌 한 명 하늘나라로 보내고 너희들 열폭에 배설하듯 내뱉은 한마디들이 쟤들 정신을 피폐하게 생각한다고 생각해 인생 하는 만큼 받는다 너희들 지껄인 만큼 너랑 네 가족 똑같이 돌려받는다,0
  @9ljsw0,학생 못하는거랑 같냐쟤넨 저 직업을 선택했고학생은 누구나 하는건데의대생이 수술 들어가서 삐끗하면 안혼나냐,학생 못하는 거랑 같냐쟤넨 저 직업을 선택했고 학생은 누구나 하는 건데 의대생이 수술 들어가서 삐끗하면 안 혼나냐,0
  @hattie2773,닌 회사에서 실수할 때마다 매번 꼭 회사 직원 수백명 뿐만 아니라 널 모르는 사람들 수천명한테도 저런 애가 퇴사해야지 저런 애가 왜 여기 있냐라며 한숨 듣길 바랄게,닌 회사에서 실수할 때마다 매번 꼭 회사 직원 수백 명뿐만 아니라 널 모르는 사람들 수천 명한테도 저런 애가 퇴사해야지 저런 애가 왜 여기 있냐라며 한숨 듣길 바랄게,0
  @jeeyeon4709,저 직업 선택하면 니들이 욕해도 받아먹어야하냐,저 직업 선택하면 너희들이 욕해도 받아먹어야 하냐,0
  @9ljsw0,알고도한거 아님그리고 어떤게 욕인데노래로 돈버는애한테 노래 못한다고 말한게 욕임,알고도 한 거 아니면 그리고 어떤 게 욕인데 노래로 돈 버는 애한테 노래 못한다고 말한 게 욕임,0
  @user-wd1vk5yu9d,이사람 말이 좀 공격적이여서 그렇지 크게 틀린 말은 아님영상의 인물들이 연습생이거나 이제 막 활동을 시작 했다면 실력이 없어도 이해가 가능함근데 다들 아시다시피 그룹이든 멤버들이든 이미 오래전부터 계속 활동을 해왔음즉 프로라는거임 아이돌이기 이전에 노래를 부르는 가수 심지어 프로가 이정도로 불안하다는건비판 받을만 함,이 사람 말이 좀 공격적이어서 그렇지 크게 틀린 말은 아님 영상의 인물들이 연습생이거나 이제 막 활동을 시작했다면 실력이 없어도 이해가 가능함 근데 다들 아시다시피 그룹이든 멤버들이든 이미 오래전부터 계속 활동을 해왔을 즉 프로라는 거임 아이돌이기 이전에 노래를 부르는 가수 심지어 프로가 이 정도로 불안하다는 건 비판받을만함,0
  @dreamlikee,궁금한게 혹시 다른 아이돌 앵콜 영상에도 이런댓 다시나요 아니면 아이브만 다시나요,궁금한 게 혹시 다른 아이돌 앙코르 영상에도 이런 댓 다시나요 아니면 아이브만 다시나요,0
  @user-wd1vk5yu9d,알고리즘 타서 보다보니 엠알제거 영상을 본게 이 영상이 처음임사실 어떤 그룹이든 어떤 가수든 노래를 부르는 직업을 가지고 있다면 모두 다 똑같다고봄,알고리즘 타서 보다 보니 엠알 제거 영상을 본 게 이 영상이 처음임 사실 어떤 그룹이든 어떤 가수든 노래를 부르는 직업을 가지고 있다면 모두 다 똑같다고 봄,0
  @dreamlikee,그냥 신기해서요뜬금없이 엠알제거영상에 찾아와서 비판 받을만함 이러시는 분이시면 당연히 다른 영상에서도 똑같은 잣대를 대실꺼라고 생각했거든요  유독 아이브영상에만 찾아와서 지랄떠시는 분이많아서요,그냥 신기해서요 뜬금없이 엠알 제거 영상에 찾아와서 비판받을만함 이러시는 분이시면 당연히 다른 영상에서도 똑같은 잣대를 대실 거라고 생각했거든요  유독 아이브 영상에만 찾아와서 지랄 떠시는 분이 많아서요,0
  @dreamlikee,아 다른 댓글에도 답변 좀 부탁드립니다,아 다른 댓글에도 답변 좀 부탁드립니다,1
  @soonno2666,저 고음이 리즈꺼였어  전혀 몰랐네 ,저 고음이 리즈 거였어  전혀 몰랐네 ,1
  @lkdhiwj1837,가을이 하는게 뭐누  폐급,가을이 하는 게 뭐 누  폐급,0
  @user-op3cj9hz4z,여기 듣고놀랐음원영이 많이 늘었네옛날엔 완전 개판이었는데,여기 듣고 놀랐음 원영이 많이 늘었네 옛날엔 완전히 개판이었는데,0
  @user-sj7xr5zg9g,잘한다의 기준이 너무 낮다,잘한다의 기준이 너무 낮다,0
  @medis5004,예전보다 늘었으니깐 잘한건 맞지더 잘해야 되겠지만,예전보다 늘었으니깐 잘한 건 맞지 더 잘해야 되겠지만,1
  @user-hd7pn2is3k,여자 아니라서 음역대가 얼마나 높은지 모르는거같은데 저정도면 상당히 준수하다고 봄왤케 까려고 날서잇나 이정도면 괜찮은데,여자 아니라서 음역대가 얼마나 높은지 모르는 거 같은데 저 정도면 상당히 준수하다고 봄왤케 까려고 날서잇나 이 정도면 괜찮은데,1
  @KaKa-hw4fp,정말 비참한 삶이야 너,정말 비참한 삶이야 너,0
  @ddongcolorpower,유진이 불안정하다는 사람은 대체 뭐지,유진이 불안정하다는 사람은 대체 뭐지,0
  @user-le5dc7zu8u,그냥 까고싶어서 안달난사람,그냥 까고 싶어서 안달 난 사람,0
  @user-fu9ot1xn2p,좌뷰 발음 기엽다,좌 뷰 발음 귀엽다,1
  @o_o4444,이걸 깐다고그냥 까고싶은거지 가을은 불안한거 인정하는데 장원영도 잘했고 나머지 괜찮은데 아득바득 불쌍하다 ,이걸 깐다고 그냥 까고 싶은 거지 가을은 불안한 거 인정하는데 장원영도 잘했고 나머지 괜찮은데 아득바득 불쌍하다 ,0
  @user-ej1rb7hd7h,리즈 전성기네,리즈 전성기네,1
  @assertive0000,가을은 진짜  데뷔 어케한거노,가을은 진짜  데뷔 어케한거노,0
  @-gose-young1127,가을 애프터라이크에 비해 실력 많이 늘었는데 왜 자꾸 욕만 하는지  결과보다 과정이 더 중요하다는거 안 배웠나  지금까지 얼마나 힘들게 연습 했을까  가을이 실력이 별로 안 좋다고 해도 이건 좀  이번만은 그냥 넘어가자  옛날엔 원영이었는데 이젠 가을이라는게 어이 없음,가을 애프터 라이크에 비해 실력 많이 늘었는데 왜 자꾸 욕만 하는지  결과보다 과정이 더 중요하다는 거 안 배웠나  지금까지 얼마나 힘들게 연습했을까  가을이 실력이 별로 안 좋다고 해도 이건 좀  이번만은 그냥 넘어가자  옛날엔 원영이었는데 이젠 가을이라는 게 어이없음,1
  @txddyj,가을은 연습 좀 더 해라,가을은 연습 좀 더 해라,0
  @user-ps6fe7mn6r,일부러 라이브못한척 노이즈마케팅  인기있는 장원영 파트많이줘서 아이브 알리고 아이엠에서 본실력 보여주는 아이브 폼 미쳤다본인생각,일부러 라이브 못한 척 노이즈마케팅  인기 있는 장원영 파트 많이 줘서 아이브 알리고 아이엠에서 본 실력 보여주는 아이브 폼 미쳤다 본인 생각,1
  @user-lx4io7ug1q,원영이 표정은 무슨 보아 저리가라임 ,원영이 표정은 무슨 보아 저리 가라 이미 ,1
  @qwer12121,여기서는 장원영보다 가을이가 더 못하는데 춤도 다른멤에 비해 못추는거 같고,여기서는 장원영보다 가을이가 더 못하는데 춤도 다른 멤에 비해 못 추는 거 같고,0
  @joon2889,유진 이서 잘한다 가을 개못하네,유진 이서 잘한다 가을 개 못하네,0
  @user-qg7yv3nj4i,가을이는 노래도 별로 랩도 별로 되게 예쁜것도아니고 춤도 특출나게 추는지 모르겠고대체 왜있음 제일 매력없음,가을이는 노래도 별로 랩도 별로 되게 예쁜 것도 아니고 춤도 특출나게 추는지 모르겠고 대체 왜 있음 제일 매력 없음,0
  @user-oz3yv3fp8n,가을이는 연습 많이 해야겠다,가을이는 연습 많이 해야겠다,1
  @suzzeling4831,애쓴다 애써,애쓴다 애써,0
  @user-hs1gp4vd7m,가수보고 실력 많이 늘었네 인정 개웃음벨이네,가수 보고 실력 많이 늘었네 인정 개 웃음 벨이 네,0
  @i_dont_like_shownu,학생보고 성적 많이 올랐다고 하는건요,학생보고 성적 많이 올랐다고 하는 건요,0
  @EON._0916,의사보고 실력늘었다하는건,의사보고 실력 늘었다 하는 건,0
  @user-hs1gp4vd7m,학생이 직업인가요,학생이 직업인가요,0
  @user-hs1gp4vd7m,그런 병원 좌표좀요,그런 병원 좌표 좀 요,0
  @EON._0916,실제 의사가 쓰신 네이버웹툰 중증외상센터에서 재원이강행이 실력 엄청 는걸로 나오고요 그거와 별계로 저희사촌언니가 피아니스트신데 실력 많이늘었네 이런말 씁니다 ,실제 의사가 쓰신 네이버 웹툰 중증외상 센터에서 재원이 강행이 실력 엄청 는걸로 나오고요 그거와 별계로 저희 사촌 언니가 피아니스트신데 실력 많이 늘었네 이런 말 씁니다 ,0
  @9ljsw0,학생이 돈버는 일이냐학생도 시험 못보면 학비 대준사람한테 잔소리 들음,학생이 돈 버는 일이냐 학생도 시험 못 보면 학비 대준 사람한테 잔소리 들음,0
  @i_dont_like_shownu,아이브한테 돈 줬나요,아이브한테 돈 줬나요,0
  @9ljsw0,음원 사고출연한 프로그램 보고 등등한명의 소비자이긴 하죠,음원 사고 출연한 프로그램 보고 등등한 명의 소비자이긴 하죠,0
  @user-hd7pn2is3k,잘하는데 뭐가그리꼬움,잘하는데 뭐가 그리고 움,1
  @i_dont_like_shownu,음원 사셨나요,음원 사셨나요,1
  @user-jh1bb5ch4q,인증없음 뭐다 아가리악플러야,인증 없음 뭐다 아가리 악플러야,0
  @user-hs1gp4vd7m,아  사촌 언니가 피아니스트를 학교 종이 땡땡땡 쳐서 붙으셨나보네요,아  사촌 언니가 피아니스트를 학교 종이 땡땡땡 쳐서 붙으셨나 보네요,0
  @EON._0916,뭔 개소린지 모르겠네요 ,뭔 개소린지 모르겠네요 ,0
  @user-hs1gp4vd7m,피아노를 못치는데 피아니스트가 되었냐구요  말이 어렵나,피아노를 못 치는데 피아니스트가 되었냐고요  말이 어렵나,0
  @gon9654,리즈 도라따,리즈 도라따,1
  @dreamlikee,애기들아 이러다 억까들 자살하겠다 적당히 잘하잨,아기들아 이러다 억까들 자살하겠다 적당히 잘하잨,0
  @user-ji4ve6il4h,목소리가 걍 기어들어가네,목소리가 그냥 기어들어가네,0
  @reggiee4990,세상이 날 몰카하나,세상이 날 몰카 하나,0
  @user-yo1yw6ox6d,그니까요,그니까요,0
  @EON._0916,이정도면 잘하잖아 엠알제거해서 이정도면 완벽아님,이 정도면 잘하잖아 엠알 제거해서 이 정도면 완벽 아님,1
  @reggiee4990,잘한건아니고 그냥 평범,잘한 건 아니고 그냥 평범,1
  @EON._0916,그래도 늘었잖아요 는건 늘었다고 칭찬해주세요,그래도 늘었잖아요 는 건 늘었다고 칭찬해 주세요,1
  @user-qt2xe4mw3t,리즈 돌았다,리즈 돌았다,1
  @user-mu3ec9zc3w,서서부르는거가지고뭔 아직도잘하는정도도아니고 아직도 불안하고 음정안맞고 못하고 그나마 나은 리즈유진도 잘하는것도아닌데 얼마나 기대치가 낮았으면 저걸보고 실력돌인것마냥 잘했다고 올려치기 척하노,서서 부르는 거 가지고 뭔 아직도 잘하는 정도도 아니고 아직도 불안하고 음정 안 맞고 못하고 그나마 나은 리즈 유진도 잘하는 것도 아닌데 얼마나 기대치가 낮았으면 저걸 보고 실력돌인것마냥 잘했다고 올려치기 척하노,0
  @Earth_Rotation,문장구조가 욕 어제 배운 초딩 같네 ,문장구조가 욕 어제 배운 초등학생 같네 ,0
  @user-mu3ec9zc3w,몰라 ,몰라 ,0
  @user-vt5ge7mb7x,이제 평균 아이돌 실력 정도는 되는건 맞지 않음 팬들끼리 부둥부둥거리는건 다른 아이돌들도 마찬가진데 왜 유난히 아이브한테만 지랄이노,이제 평균 아이돌 실력 정도는 되는 건 맞지 않음 팬들끼리 부둥부둥 거리는 건 다른 아이돌들도 마찬가진데 왜 유난히 아이브한테만 지랄이노,0
  @user-mu3ec9zc3w,용가리 아이브한테만그런적없는데 소설쓰지말고 갈길가셈 어쨌거나 올려치기하고 그런해당되는애들한테 한말이고 평균은글쎄 워낙잘하는애들도많고 저게 잘하는건아니지 혹여나 다른애들도 마찬가지여도 이거랑 별개인거고,용가리 아이브한테만 그런 적 없는데 소설 쓰지 말고 갈 길 가세요 어쨌거나 올려치기 하고 그런 해당되는 애들한테 한말이고 평균은 글쎄 워낙 잘하는 애들도 많고 저게 잘하는 건 아니지 혹여나 다른 애들도 마찬가지여도 이거랑 별개인 거고,0
  @iiiqiq26,연예인에게 있어서 가장 큰 타격은 무반응임 영상마다 들어와서 댓글 달던데 팬보다 더한 관심임 그쪽은 그냥 조회수 올려주고 영상이 화제가 되도록 만들어주는거임 잼민이인척 하려고 닉네임 만들고 하루종일 댓글 다는게 안타깝다,연예인에게 있어서 가장 큰 타격은 무반응임 영상마다 들어와서 댓글 달던데 팬보다 더한 관심임 그쪽은 그냥 조회 수 올려주고 영상이 화제가 되도록 만들어주는 거임 잼민이 진척하려고 닉네임 만들고 하루 종일 댓글 다는 게 안타깝다,0
  @user-mu3ec9zc3w,무반응인데 올려치기하는애들 수두룩이네요 팬들도 올려치기해서 조회수늘리고 화제되게 만드는거임 잼민이척 닉네임만들고 댓글다는게 안쓰럽다고요 네 소설 잘들었습니다 안타까운건 팩트쳐맞고도 대며 끝까지 올려치기하고 척하는 님들이고요,무반응인데 올려치기 하는 애들 수두룩이네요 팬들도 올려치기 해서 조회 수 늘리고 화제 되게 만드는 거임 잼민이척 닉네임 만들고 댓글 다는 게 안쓰럽다고요 네 소설 잘 들었습니다 안타까운 건 팩트 처맞고도 대며 끝까지 올려치기 하고 척하는 님들이고요,0
  @dreamlikee,궁금해서 그런데 다른 아이돌 앵콜에도 이런 댓글 다시나요,궁금해서 그런데 다른 아이돌 앙코르에도 이런 댓글 다시나요,0
  @user-mu3ec9zc3w,장철원 아니요 아이브말고는 딱히 뭐라할그룹이없는데요 사건사고논란있는애들말고는 없죠 그리고 워낙에 잘하는애들이많고 못하는데 올려치기하는애들이 별로없어서요 그리고 이게 이런댓글이라긴보단 팩트죠 못하는데 올려치기하는애들이 이런댓글이죠,정철원 아니요 아이브 말고는 딱히 뭐라 할 그룹이 없는데요 사건사고 논란 있는 애들 말고는 없죠 그리고 워낙에 잘하는 애들이 많고 못하는데 올려치기 하는 애들이 별로 없어서요 그리고 이게 이런 댓글이라 긴 비단 팩트죠 못하는데 올려치기 하는 애들이 이런 댓글이죠,0
  @dreamlikee,아 나름대로 줒대를 가지고 라이브 못하는 그룹들을 까는분이신지 알았는데 그냥 오직 아이브한테만 열폭하는 분이셨네요그리고 혹시 이 영상같이 에이알없이 인이어안끼고 부른 엠알제거된 앵콜 라이브 잘하는 다른 그룹들꺼 영상 있으시면 링크 주실 수 있으신가요 저도 어떤지 한번 궁금해서요,아 나름대로 줒대를 가지고 라이브 못하는 그룹들을 까는 분이신지 알았는데 그냥 오직 아이브한테만 열폭 하는 분이셨네요 그리고 혹시 이 영상같이 에이알 없이 인이어 안 끼고 부른 엠알 제거된 앙코르 라이브 잘하는 다른 그룹들 거 영상 있으시면 링크 주실 수 있으신가요 저도 어떤지 한번 궁금해서요,1
  @user-mu3ec9zc3w,장철원 아이브한테만그런게아닌데요 모르겠네요 님이알아서보세요 열폭은무슨 못하는데 올려치기하는애들이 열폭인거죠저는 아이브한테열폭한게아니고 못하는데 올려치기하는애들한테 얘기하는거죠,정철원 아이브한테만 그런 게 아닌데요 모르겠네요 님이 알아서 보세요 열 폭은 무슨 못하는데 올려치기 하는 애들이 열폭인 거죠 저는 아이브한테 열 폭 안 게 아니고 못하는데 올려치기 하는 애들한테 얘기하는 거죠,0
  @user-xj9rm3xq1z,저분 그냥 하루종일 이 영상 댓글들 보면서 쉴드친다고 바쁜신분임 안건드리는게 좋음 오만 댓글에 쉴드댓글 다있음저정도 진심이면 인정해줘야함 ,저분 그냥 하루 종일 이 영상 댓글들 보면서 실드 친다고 바쁜 신분임 안 건드리는 게 좋음 오만 댓글에 실드 댓글 다 있을 저 정도 진심이면 인정해 줘야 함 ,0
  @user-mu3ec9zc3w,그니까 그래서 다른영상에서도 내댓글에 저러길래 님 다른영상에서도 여기저기 댓글달고 답변받아놓고선 계속 그러시네 컨셉이신가라고 말했음,그니까 그래서 다른 영상에서도 내 댓글에 저러길래 님 다른 영상에서도 여기저기 댓글 달고 답변 받아놓고 선 계속 그러시네 콘셉트신가라고 말했음,0
  @dreamlikee,링크 하나라도 주면 입닥치고 버로우 탈텐데 아무도 링크 하나 못보내면서 입만 터시고 계시니까 자꾸 의구심이 드네요,링크 하나라도 주면 입 닥치고 버로우 탈 텐데 아무도 링크 하나 못 보내면서 입만 터시고 계시니까 자꾸 의구심이 드네요,0
  @user-mu3ec9zc3w,장철원 답변받으신거 봤는데요 마마무며 여러실력유명아이돌들이많은데 굳이 제가 링크드려야되나요 님이 검색해서 보시면될걸 굳이 얘기하시는게 문제아닌가요 그거가지고 신빙성 의구심 얘기나오는게 웃기네요 그렇게 생각하시면 그렇게 생각하시면서 갈길가세요 저야말로 의구심이 드네요 적어도 아이브보다 잘하는애들 수두룩인건 팩트죠 그리고 애초부터 전 잘한다고 올려치기하는 해당되는애들한테 얘기한겁니다,정철원 답변 받으신 거 봤는데요 마마무며 여러 실력 유명 아이돌들이 많은데 굳이 제가 링크 드려야 되나요 님이 검색해서 보시면 될걸 굳이 얘기하시는 게 문제 아닌가요 그거 가지고 신빙성 의구심 얘기 나오는 게 웃기네요 그렇게 생각하시면 그렇게 생각하시면서 갈 길 가세요 저야말로 의구심이 드네요 적어도 아이브보다 잘하는 애들 수두룩인 건 팩트죠 그리고 애초부터 전 잘한다고 올려치기 하는 해당되는 애들한테 얘기한 겁니다,0
  @iiiqiq26,아이브 영상에만 개의 댓글을 단 것을 증거로 아이브 팬으로 인정합니다,아이브 영상에만 개의 댓글을 단것을 증거로 아이브 팬으로 인정합니다,0
  @inging-e,가을아 물 흐리지 말고 음정 좀 제발,가을아 물 흐리지 말고 음정 좀 제발,0
  @zi1zi,앗 마지막 왜 끊어여 흐규,앗 마지막 왜 끊어요 흐규,1
  @Rvd-schul,여기서 원본 영상이 끝남,여기서 원본 영상이 끝남,1
  @Error-rk3lg,가을은 진짜 노래 못하는구나,가을은 진짜 노래 못하는구나,0
  @oxox6758,리즈고음에 뭍여서 속고있는거야,리즈 고음의 뭍여서 속고 있는 거야,0
  @jaglns2182,보는데 불안 불안하다더 노력해주길,보는데 불안 불안하다 더 노력해 주길,0
  @user-qz7sz5on3x,오홍,오호,1
  @user-qm4hf7cl1j,가을 이서 연습 더 해라 유진 너무 불안해,가을 이서 연습 더 해라 유진 너무 불안해,0
  @Rvd-schul,이서 정도면 연차 차면 괜찮음가을이 제일 문제임 그룹에서 딱히 뛰어난게 없음,이서 정도면 연차 차면 괜찮음 가을이 제일 문제임 그룹에서 딱히 뛰어난 게 없음,0
  @user-wd5cd3ok5d,엠알제거 어케해요,엠알 제거 어떻게 해요,1
  @tjsrhkgus,가을은 그냥 음친데,가을은 그냥 음친데,0
  @narsisan5850,다른 그룹들은 엠알제거 안올려줌,다른 그룹들은 엠알 제거 안 올려줌,1
  @user-jr8rf9ty6b,진짜 노래에 재능이 도없네 ,진짜 노래에 재능이 도 없네 ,0
  @Misilsaejoo,아니 진짜 리즈 ,아니 진짜 리즈 ,1
  @user-rl6oz4vs6r,자란다,자란다,1
  @5moon_night,저번 영상에서는 주작인게 티가 나는게 애초에 무대를 에이알을 깔아서 무대를 하는건데 그걸 반주랑 목소리를 따로 때내는건 불가능 하거든요 근데 원영이만 목소리가 안나오는건 백퍼 주작입니다,저번 영상에서는 주작인데 티가 나는 게 애초에 무대를 에이알을 깔아서 무대를 하는 건데 그걸 반주랑 목소리를 따로 때 내는 건 불가능하거든요 근데 원영이만 목소리가 안 나오는 건 백퍼 주작입니다,1
  @user-qw8dj7fv1c,좋아해요 사랑해,좋아해요 사랑해,1
  @user-qw8dj7fv1c,유진이서리,유진이 서리,1
  @user-ro5nk3eq8n,노랜 진짜 못부른다,노랜 진짜 못 부른다,0
  @user-zw6oy9yh6s,다 좋은데근데 왤케 얼빡샷임 너무 이쁜데 눈코입이 화면에 너무 꽉차있는디,다 좋은데 근데 왜 이렇게 얼빡샷임 너무 이쁜데 눈코입이 화면에 너무 꽉 차있는데,1
  @user-oz3qi4mt5b,장원영 가을은 ,장원영 가을은 ,1
  @user-ml3wc7zj9y,실력이 늘렀다 인정 하면 안됨 원래 잘해야됨 쟤네 회사는 뭔 생각으로 그 실력에 데뷔를 시킴,실력이 눌렀다 인정하면 안 됨 원래 잘해야 됨 쟤네 회사는 뭔 생각으로 그 실력에 데뷔를 시킴,0
  @user-hm4ww2cu6l,세상이 날 속이고있어,세상이 날 속이고 있어,0
  @jin4134,음악에 대해 조금이라도 더 아시는 분들은 아시겠지만 요즘은 거의 다 아시는데 이런 영상은 라이브 관련해 많은 도움이 되질 못해요,음악에 대해 조금이라도 더 아시는 분들은 아시겠지만 요즘은 거의 다 아시는데 이런 영상은 라이브 관련해 많은 도움이 되질 못해요,1
  @diditi5600,그냥 일반인애들 몇주 연습시킨거같다,그냥 일반인 애들 몇 주 연습시킨 거 같다,0
  @user-zm1te2px2y,세대부터는 걸그룹 끊을라 했는데 맘대로 안되게 생겼다,세대부터는 걸그룹 끊으려 했는데 맘대로 안되게 생겼다,1
  @liztomato,아니 근데 첨부터 엠알 없었는데 이걸 지워서 올리시네,아니 근데 첨부터 엠알 없었는데 이걸 지워서 올리시네,1
  @Gaeul_Sunbae_ivestarship,더쇼에서 미세하게 틀어논 것도 없애려고 작정함 ,더쇼에서 미세하게 틀어놓은 것도 없애려고 작정함 ,1
  @user-fh3fu8ed4c,이런거 올려봤자 음만 뭉개지고 제대로 들리지도 않아서악개싸움 만들고 팬 아닌 사람이 팬인척 멤버 공격하고 팬 아닌 사람들은 와서 욕먹게 만드는데 무대마다 조회수 거하게 빨아먹고다른 그룹 컴백 했는데 영상 하나도 안올리는거 투명하네  팬이라서 올렸다기엔 팬은 정병들 많은거 알아서 이런 짓 안하는데누구 팬인지 딱보임,이런 거 올려봤자 음만 뭉개지고 제대로 들리지도 않아서 악 개싸움 만들고 팬 아닌 사람이 팬인 척 멤버 공격하고 팬 아닌 사람들은 와서 욕먹게 만드는데 무대마다 조회 수 거하게 빨아먹고 다른 그룹 컴백했는데 영상 하나도 안 올리는 거 투명하네  팬이라서 올렸다기엔 팬은 정병들 많은 거 알아서 이런 짓 안 하는데 누구 팬인지 딱 보임,0
  @user-df2lv6ls7r,썸네일보고 안 들어올 수가 없었다,섬네일 보고 안 들어올 수가 없었다,1
  @user-xw1st1md7o,많이 발전했다 근데 안무는 어디 갔다 버렸냐 안무 안하고 이정도도 못하면 안되지 연말에시상식때 춤추면서 할때 박제영상 안뜨길,많이 발전했다 근데 안무는 어디 갔다 버렸냐 안무 안 하고 이 정도도 못하면 안 되지 연말에 시상식 때 춤추면서 할 때 박제 영상 안 뜨길,0
